ID;DAN;LETO;DAN_V_TEDNU;TEDEN;DAN_V_MESECU;DATUM;PRA_DAN;PRA_PRED;PRA_NASL;PRA;BDP1;BDP2;BDP3;URA_VEC;URA_MANJ;MIN_VREDNOST;MAX_VREDNOST;STEVEC;MIN_PRET_TED;MAX_PRET_TED;TEMP_MIN;TEMP_MAX;MIN_VRED_LM1;MAX_VRED_LM1;PMIN_VRED_LM1;PMAX_VRED_LM1;RPMIN_VRED_LM1;RPMAX_VRED_LM1
4470;83;2012;5;12;23;23.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;875607,056;1417840,74;24;904340,0084;1436836,128;2,72;20,3;888877,412;1438057,667;884793,3265;1445118,486;887045,4905;1448796,909
4471;84;2012;6;12;24;24.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;810364,3486;1195522,25;24;814946,8607;1202948,226;3,16;19,9;816358,8724;1215951,331;819922,6697;1221002,668;822009,7111;1224110,623
4472;85;2012;7;12;25;25.03.2012;0;0;0;0;8665;-0,4;-0,2;0;1;704028,0694;1106497,53;23;675731,025;1139911,845;7,12;19,04;695598,917;1152896,581;703420,6285;1144620,93;705211,1241;1147534,463
4473;86;2012;1;13;26;26.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;699740,0175;1292597,68;24;705997,811;1351920,223;2,3;18,92;712612,2985;1341350,04;721692,1203;1347555,116;723529,1245;1350985,2
4474;87;2012;2;13;27;27.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;888244,433;1444952,78;24;891509,868;1527055,527;0,7;19,28;894600,1705;1512986,54;908858,1093;1515431,931;911171,5281;1519289,331
4475;88;2012;3;13;28;28.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;890505,4615;1435185,43;24;909485,4545;1527702,192;3,18;21,5;903726,4595;1491404,972;917752,1582;1513289,238;920088,216;1517141,183
4476;89;2012;4;13;29;29.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;846832,5104;1382697,2;24;888208,5996;1472621,773;3,82;19,98;873576,5792;1435001,602;885230,0597;1448866,91;887483,3354;1452554,874
4477;90;2012;5;13;30;30.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;793024,9974;1273798,98;24;818502,248;1325372,866;4,98;18,08;809155,1746;1323780,774;818164,5461;1329970,51;820247,1123;1333355,833
4478;91;2012;6;13;31;31.03.2012;0;0;0;0;8665;-0,4;-0,2;0;0;859639,8214;1265589,82;24;883206,0878;1302984,927;2,32;20,3;879990,7027;1279941,568;884668,7961;1302994,714;802014,5551;1181256,455
4479;92;2012;7;13;1;1.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;695726,0376;1140875,07;24;720400,8152;1132230,035;2,88;12,62;698949,5304;1119141,162;703353,8541;1136094,975;680247,2303;1098771,913
4480;93;2012;1;14;2;2.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;726943,1908;1309355,4;24;707972,253;1307804,709;-2,18;16,84;716912,6324;1312289,6;717353,1559;1322313,414;693786,6262;1278872,692
4481;94;2012;2;14;3;3.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;805526,861;1324840,47;24;794745,019;1292852,491;6,26;16,82;789754,1335;1310861,602;795344,8612;1321992,23;769216,1432;1278562,061
4482;95;2012;3;14;4;4.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;855226,0262;1413830,47;24;853010,4947;1374756,574;9,86;18,76;863395,6422;1412702,828;863586,8848;1415648,628;835216,2757;1369141,653
4483;96;2012;4;14;5;5.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;866290,032;1435495,01;24;846832,5104;1382697,201;8,34;18,32;866881,3068;1416712,398;873007,0808;1432753,447;844326,9988;1385684,543
4484;97;2012;5;14;6;6.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;904253,5649;1557226,2;24;894458,4273;1436726,762;9,84;16,3;918602,7652;1490934,504;921215,4731;1495966,016;890951,6461;1446820,449
4485;98;2012;6;14;7;7.04.2012;0;0;1;1;9244;-3,5;-1,5;0;0;788211,891;1220184,4;24;797603,958;1174258,593;7,58;14,48;820462,491;1209704,148;824862,981;1220486,763;797764,5319;1180391,257
4486;99;2012;7;14;8;8.04.2012;1;0;1;1;9244;-3,5;-1,5;0;0;686420,383;1057446,44;24;743161,9038;1218662,004;2,52;8,02;747018,423;1185078,971;757045,5377;1196278,464;732175,0315;1156978,25
4487;100;2012;1;15;9;9.04.2012;1;1;0;1;9244;-3,5;-1,5;0;0;704235,3939;1214615,7;24;819924,2966;1476831,092;-2,4;10,14;805495,7406;1463481,874;816380,8963;1483129,948;789561,1012;1434406,073
4488;101;2012;2;15;10;10.04.2012;0;1;0;1;9244;-3,5;-1,5;0;0;719244,8225;1358116,85;24;843434,0074;1387185,907;-1,7;15,36;833300,4229;1362632,186;839292,3687;1372644,033;811719,8845;1327549,848
4489;102;2012;3;15;11;11.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;909530,685;1504253,1;24;911614,5554;1507050,064;6,38;12,48;918504,931;1498313,255;926057,4739;1503204,457;895634,5772;1453821,092
4490;103;2012;4;15;12;12.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;887759,6974;1448602,35;24;885122,424;1466701,42;5,24;15,14;897662,5598;1477993,001;896231,3628;1454617,26;866788,3153;1406830,085
4491;104;2012;5;15;13;13.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;835137,2939;1376107,83;24;829675,9513;1428795,169;4,04;14,36;855493,5875;1379832,121;850120,4854;1373288,856;822192,2753;1328173,487
4492;105;2012;6;15;14;14.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;802659,1496;1258699,57;24;770696,0712;1193069,187;7,9;12,54;819026,0056;1236088,568;794658,4829;1186207,243;768552,3139;1147237,891
4493;106;2012;7;15;15;15.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;794662,6545;1303371,84;24;722932,1055;1113693,59;7,82;13,62;818870,085;1272581,996;776436,7743;1181214,266;750929,2259;1142408,943
4494;107;2012;1;16;16;16.04.2012;0;0;0;0;9244;-3,5;-1,5;0;0;780182,9115;1467449,96;24;689715,0765;1189572,074;8,02;13,4;817818,9475;1474720,625;752949,499;1315769,934;728213,5561;1272544,18
